,timestamp,pos_x,pos_y,pos_z,l_status,l_active,l_available,l_calibrated,sys_canfly,sys_isflying,pm_battery,pm_state
0,512450.0,0.777304470539093,0.6541788578033447,-0.09776495397090912,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
1,512460.0,0.7773302793502808,0.654056966304779,-0.09790907055139542,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
2,512470.0,0.7772756218910217,0.6541455984115601,-0.09785439074039459,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
3,512481.0,0.7773014307022095,0.6540253758430481,-0.0980011597275734,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
4,512490.0,0.7772472500801086,0.6541125774383545,-0.09793794900178909,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
5,512500.0,0.7772693634033203,0.6539919972419739,-0.09808546304702759,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
6,512510.0,0.7772298455238342,0.6540715098381042,-0.09801778942346573,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
7,512520.0,0.7772486805915833,0.6539495587348938,-0.09816615283489227,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
8,512530.0,0.7772460579872131,0.6539536714553833,-0.09817909449338913,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
9,512540.0,0.7772666215896606,0.6538300514221191,-0.098331518471241,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
10,512550.0,0.7772452235221863,0.6539250016212463,-0.09830465912818909,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
11,512560.0,0.7772664427757263,0.6538047790527344,-0.09846081584692001,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
12,512570.0,0.7772102355957031,0.6538165807723999,-0.09846017509698868,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
13,512581.0,0.7772310376167297,0.653695285320282,-0.09861842542886734,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
14,512590.0,0.777187168598175,0.6537967324256897,-0.09853819012641907,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
15,512601.0,0.7772095203399658,0.6536746621131897,-0.09869781136512756,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
16,512610.0,0.7771621942520142,0.6536949276924133,-0.0987098217010498,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
17,512621.0,0.7771847248077393,0.6535699367523193,-0.09887038916349411,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
18,512630.0,0.777148425579071,0.6535431742668152,-0.09890692681074142,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
19,512641.0,0.77717524766922,0.653415322303772,-0.09906947612762451,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
20,512650.0,0.7771429419517517,0.6534374356269836,-0.09904318302869797,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
21,512660.0,0.7771717309951782,0.6533093452453613,-0.0992095097899437,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
22,512670.0,0.777202308177948,0.6531798839569092,-0.09937676042318344,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
23,512680.0,0.7772350311279297,0.6530487537384033,-0.09954419732093811,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
24,512690.0,0.7772712111473083,0.6529167890548706,-0.09971221536397934,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
25,512700.0,0.7773113250732422,0.6527838110923767,-0.09988131374120712,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
26,512710.0,0.777354896068573,0.6526490449905396,-0.10005210340023041,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
27,512720.0,0.7774011492729187,0.6525132656097412,-0.10022377967834473,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
28,512730.0,0.7774505615234375,0.6523769497871399,-0.10039662569761276,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
29,512740.0,0.7775090932846069,0.6522252559661865,-0.10058954358100891,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
30,512750.0,0.7775658965110779,0.6520841717720032,-0.10076647251844406,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
31,512760.0,0.7776265144348145,0.6519396901130676,-0.10094385594129562,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
32,512770.0,0.7776918411254883,0.6517927050590515,-0.10112137347459793,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
33,512780.0,0.7777619957923889,0.651643693447113,-0.10129950940608978,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
34,512790.0,0.7778357863426208,0.6514933109283447,-0.10147900879383087,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
35,512800.0,0.7779125571250916,0.6513411998748779,-0.10166043043136597,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
36,512810.0,0.7779921889305115,0.651187539100647,-0.10184277594089508,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
37,512820.0,0.7780744433403015,0.651032030582428,-0.10202505439519882,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
38,512830.0,0.7781597971916199,0.6508734822273254,-0.10220750421285629,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
39,512840.0,0.7782488465309143,0.6507123708724976,-0.10239022970199585,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
40,512850.0,0.7783417105674744,0.6505492329597473,-0.1025741696357727,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
41,512860.0,0.7784377932548523,0.6503839492797852,-0.10276036709547043,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
